Style/Genre,"1,000 - 10,000","10,000 - 50,000","50,000 - 100,000","100,000 - 500,000","500,000+"
Anime,yukari_ow,lewillust,ichigowarano,yoneyamai,null
Anime,reia_76,yugan.999,tamaji599,deariyue,kuvshinov_ilya
Character Design,seth_pennington_,polluxery,cherryandsisters,hou_jae04,koyori_n
Character Design,birmit_c,shlerbe.art,julbenart,onebadnoodle_,null
Environment/Landscape,changwei_chen_art,jtuffdesigns,dewpearl_art,cordeliacarla,paulkenton
Environment/Landscape,alexshin_art,djosephcreative,milicamastelica,juliaspowellart,markmaggiori
Fantasy,jingliang_j,gabrielleragusi,theartofmichealwhelan,tahraart,anniestegg
Fantasy,barret_frymire,phil__moss,nn__ee__zz,ryanhappytree,beksinki
Fashion,jacquelineostermann,myrtostamou,nam.felixchen,eris_tran,hnicholsillustration
Fashion,junztv,fashionart_saba,tess.laf,ahvero,null
Horror,ginettarah.art,mr.deadwater.art,gravemud.art,stitching_a_laugh_to_darkness,laurasbeatingart
Horror,m_g_t_art,builtfromsketch,kickpunch.se,justinonealart,null
Mecha,moyan_0802,tg_ping,fightpunch,toyagogo,pascalblanche
Mecha,dickdavid_sketches,estevesdesign,freakyfir,emersontung,null
Portrait,kieracoyleart,drafts_jotape,mahiartss,9brookskim,stephenbaumanartwork
Portrait,anjelo_art,sevdehrart,bochan_0619,mysketchvetch,devonrodriguezart
Semi Realism,sybillgray,phamoz,svanhaart,hessah._.art,lotusbubble
Semi Realism,_lucidream_,aikee.png,_siimka._,chris_firger,samdoesarts
Stylized,afique_asyraf,elfphoe,_spec,o.sporin,carolynj
Stylized,fizzeru,crystalsugarstars,crazycomet107,sykosan,gretlusky
Stylized,freethespice,kanioque,miithers,friedbaens,alaiganuza
Traditional Painting,danielfolta,rakhmanovsamir,tashkotwal,rossoartist,andrewcadima
Traditional Painting,shelleyhannaart,carolinenelson.art,estelledayfineart,brian_neher,mcfriendy
Cartoon,elinaclevergull,goodbyellow,pamekute,idolomantises,feefal
Cartoon,steamshade_art,cardboardtoaster,hallojigsawpanda,varguyart,blobbynfriends
Comic,redrollerball,jhonycaballeroart,dd.markk,massiveface,thealexrossart
Comic,calebandersonart,luisbajocollados,katekomics,real_greg_capullo,jimlee
Digital Painting,kamyarlabbaf,mahonsunto,levinky_art,_alariko,wlop
Digital Painting,afique_asyraf,rxzarx,percichen,jocelincarmes,yuumeiart
Pencil,__shashi__artist__4436,art._.verse,jahzeelv_jw,chommang,maas.art
Pencil,monotanix,sachinbhojane_art,underwaterlad,sinarty77,eleeza
Pixel,angrymonsterham,transientcodepixelart,nop_pixels,8pxl_,pixel.bef
Pixel,hby_stuff,pixelianska,angrysnail,woostarspixels,null